instructions_exposure.started,instructions_exposure.stopped,instructions_exposure_loop.thisRepN,instructions_exposure_loop.thisTrialN,instructions_exposure_loop.thisN,instructions_exposure_loop.thisIndex,instructions_exposure_loop.ran,instructions_text,continue_text,participant_id,"What variety of Spanish are you most familiar with? (e.g., Peruvian, Spanish, Mexican)",At what age did you begin learning Spanish?,Are you proficient in any languages other than English/Spanish?,"Are you familiar with Caribbean (e.g., Caribbean, Puerto Rican) or Galician Spanish?",date,expName,psychopyVersion,OS,frameRate,id,study_id,session,trial_exposure.started,trial_exposure.stopped,key_resp_exposure.keys,key_resp_exposure.corr,key_resp_exposure.rt,key_resp_exposure.duration,key_resp.keys,exposure_loop.thisRepN,exposure_loop.thisTrialN,exposure_loop.thisN,exposure_loop.thisIndex,exposure_loop.ran,item_num,correct_response,question,path,duration,instructions_2afc.started,instructions_2afc.stopped,instructions_2afc_loop.thisRepN,instructions_2afc_loop.thisTrialN,instructions_2afc_loop.thisN,instructions_2afc_loop.thisIndex,instructions_2afc_loop.ran,practice_2afc.started,practice_2afc.stopped,key_resp_2afc_practice.keys,key_resp_2afc_practice.corr,key_resp_2afc_practice.rt,key_resp_2afc_practice.duration,trials_2afc_practice_loop.thisRepN,trials_2afc_practice_loop.thisTrialN,trials_2afc_practice_loop.thisN,trials_2afc_practice_loop.thisIndex,trials_2afc_practice_loop.ran,check_2afc.started,check_2afc.stopped,trial_2afc.started,trial_2afc.stopped,key_resp_2afc_trial.keys,key_resp_2afc_trial.corr,key_resp_2afc_trial.rt,key_resp_2afc_trial.duration,trials_2afc_loop.thisRepN,trials_2afc_loop.thisTrialN,trials_2afc_loop.thisN,trials_2afc_loop.thisIndex,trials_2afc_loop.ran,target,variety,trials_2afc_loop.order
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,1,,./stim/wavs/argentine_question_filler_Mi-vecino-habla-mucho.wav,,,,,,,,,232.3816,239.1399,0,0,6.2366,,0,1,1,1,1,,,,,,,,,,,,,,,,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,0,,./stim/wavs/andalusian_statement_filler_Alberto-nunca-se-afeita.wav,,,,,,,,,239.1404,244.0863,0,1,4.414,,0,2,2,5,1,,,,,,,,,,,,,,,,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,0,,./stim/wavs/cuban_statement_filler_Cocinabas-por-la-noche.wav,,,,,,,,,244.0873,247.9163,0,1,3.3075,,0,3,3,4,1,,,,,,,,,,,,,,,,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,1,,./stim/wavs/castilian_question_filler_Mi-esposo-conoce-al-chico.wav,,,,,,,,,247.9167,252.8271,0,0,4.3831,,0,4,4,0,1,,,,,,,,,,,,,,,,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,1,,./stim/wavs/chilean_question_filler_Mi-padre-cantaba-bien.wav,,,,,,,,,252.8277,256.1908,0,0,2.8331,,0,5,5,2,1,,,,,,,,,,,,,,,,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,0,,./stim/wavs/puertorican_statement_filler_La-nina-pinta-con-su-amiga.wav,,,,,,,,,256.1917,260.104,0,1,3.3807,,0,6,6,7,1,,,,,,,,,,,,,,,,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,1,,./stim/wavs/mexican_question_filler_Felipe-no-tiene-contrasena.wav,,,,,,,,,260.105,264.2996,0,0,3.6668,,0,7,7,3,1,,,,,,,,,,,,,,,,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.3,268.5793,,,,,,,,,,,,,,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,84,0,,./stim/wavs/puertorican_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien.wav,,,,,,,,,,,,,,,,,,,,,,268.5847,272.0595,0,1,2.9518,,0,0,0,83,1,0,puertorican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,36,1,,./stim/wavs/mexican_mismatch_interrogative-total-yn_El-nino-oye-el-rio.wav,,,,,,,,,,,,,,,,,,,,,,272.0599,276.2719,1,1,3.684,,0,1,1,35,1,0,mexican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,22,1,,./stim/wavs/puertorican_match_interrogative-total-yn_Emilio-ama-la-marcha.wav,,,,,,,,,,,,,,,,,,,,,,276.2724,279.6853,1,1,2.8848,,0,2,2,21,1,1,puertorican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,41,1,,./stim/wavs/puertorican_mismatch_interrogative-total-yn_El-nino-oye-el-rio.wav,,,,,,,,,,,,,,,,,,,,,,279.6859,283.9149,0,0,3.7065,,0,3,3,40,1,1,puertorican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,83,0,,./stim/wavs/mexican_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia.wav,,,,,,,,,,,,,,,,,,,,,,283.9156,286.6618,0,1,2.2235,,0,4,4,82,1,0,mexican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,73,0,,./stim/wavs/castilian_mismatch_declarative-broad-focus_Mi-tia-odia-la-lluvia.wav,,,,,,,,,,,,,,,,,,,,,,286.6624,289.2762,0,1,2.0808,,0,5,5,72,1,0,castilian,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,42,1,,./stim/wavs/puertorican_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris.wav,,,,,,,,,,,,,,,,,,,,,,289.2768,293.2227,0,0,3.4182,,0,6,6,41,1,1,puertorican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,86,0,,./stim/wavs/puertorican_mismatch_declarative-broad-focus_El-nino-oye-el-rio.wav,,,,,,,,,,,,,,,,,,,,,,293.223,296.6359,0,1,2.8877,,0,7,7,85,1,0,puertorican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,65,0,,./stim/wavs/puertorican_match_declarative-broad-focus_David-leia-el-libro.wav,,,,,,,,,,,,,,,,,,,,,,296.6364,299.7836,0,1,2.625,,0,8,8,64,1,0,puertorican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,23,1,,./stim/wavs/puertorican_match_interrogative-total-yn_Manuela-vende-el-carro.wav,,,,,,,,,,,,,,,,,,,,,,299.7842,302.9137,0,0,2.6014,,0,9,9,22,1,1,puertorican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,74,0,,./stim/wavs/cuban_mismatch_declarative-broad-focus_El-bebe-comia-muy-bien.wav,,,,,,,,,,,,,,,,,,,,,,302.9144,306.1938,0,1,2.7481,,0,10,10,73,1,0,cuban,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,26,1,,./stim/wavs/castilian_mismatch_interrogative-total-yn_La-nina-lava-el-plato.wav,,,,,,,,,,,,,,,,,,,,,,306.1946,308.6752,0,0,1.9492,,0,11,11,25,1,0,castilian,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,49,0,,./stim/wavs/castilian_match_declarative-broad-focus_Mariano-habla-del-tiempo.wav,,,,,,,,,,,,,,,,,,,,,,308.676,311.1888,0,1,1.9823,,0,12,12,48,1,0,castilian,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,27,1,,./stim/wavs/castilian_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta.wav,,,,,,,,,,,,,,,,,,,,,,311.1891,313.8544,0,0,2.1302,,0,13,13,26,1,0,castilian,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,13,1,,./stim/wavs/mexican_match_interrogative-total-yn_Ana-lleva-el-abrigo.wav,,,,,,,,,,,,,,,,,,,,,,313.8553,315.9012,0,0,1.5261,,0,14,14,12,1,0,mexican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,32,1,,./stim/wavs/cuban_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta.wav,,,,,,,,,,,,,,,,,,,,,,315.9022,318.1489,0,0,1.7227,,0,15,15,31,1,1,cuban,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,58,0,,./stim/wavs/mexican_match_declarative-broad-focus_Daniel-iba-a-Bolivia.wav,,,,,,,,,,,,,,,,,,,,,,318.1494,320.2306,0,1,1.5653,,0,16,16,57,1,0,mexican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,71,0,,./stim/wavs/castilian_mismatch_declarative-broad-focus_La-nina-lava-el-plato.wav,,,,,,,,,,,,,,,,,,,,,,320.231,322.445,0,1,1.6828,,0,17,17,70,1,0,castilian,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,21,1,,./stim/wavs/puertorican_match_interrogative-total-yn_David-leia-el-libro.wav,,,,,,,,,,,,,,,,,,,,,,322.4454,324.4776,0,0,1.5085,,0,18,18,20,1,1,puertorican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,14,1,,./stim/wavs/mexican_match_interrogative-total-yn_Daniel-iba-a-Bolivia.wav,,,,,,,,,,,,,,,,,,,,,,324.4781,326.5914,0,0,1.5892,,0,19,19,13,1,0,mexican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,87,0,,./stim/wavs/puertorican_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris.wav,,,,,,,,,,,,,,,,,,,,,,326.5923,328.7397,0,1,1.6146,,0,20,20,86,1,0,puertorican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,82,0,,./stim/wavs/mexican_mismatch_declarative-broad-focus_Mi-novio-viene-del-lago.wav,,,,,,,,,,,,,,,,,,,,,,328.7403,331.3705,0,1,2.1144,,0,21,21,81,1,0,mexican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,2,1,,./stim/wavs/castilian_match_interrogative-total-yn_Emilio-ama-la-marcha.wav,,,,,,,,,,,,,,,,,,,,,,331.3713,334.9836,0,0,3.0867,,0,22,22,1,1,0,castilian,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,76,0,,./stim/wavs/cuban_mismatch_declarative-broad-focus_La-nina-lava-el-plato.wav,,,,,,,,,,,,,,,,,,,,,,334.984,337.1316,0,1,1.6192,,0,23,23,75,1,0,cuban,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,62,0,,./stim/wavs/mexican_match_declarative-broad-focus_Marta-abre-el-regalo.wav,,,,,,,,,,,,,,,,,,,,,,337.1322,339.6626,0,1,1.9986,,0,24,24,61,1,0,mexican,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,33,1,,./stim/wavs/cuban_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago.wav,,,,,,,,,,,,,,,,,,,,,,339.6632,342.1265,0,0,1.9407,,0,25,25,32,1,1,cuban,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,9,1,,./stim/wavs/cuban_match_interrogative-total-yn_Manuela-vende-el-carro.wav,,,,,,,,,,,,,,,,,,,,,,342.1269,344.8417,0,0,2.1873,,0,26,26,8,1,1,cuban,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,1,1,,./stim/wavs/castilian_match_interrogative-total-yn_David-leia-el-libro.wav,,,,,,,,,,,,,,,,,,,,,,344.8425,347.6885,0,0,2.3212,,0,27,27,0,1,0,castilian,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,25,1,,./stim/wavs/castilian_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris.wav,,,,,,,,,,,,,,,,,,,,,,347.6893,350.5191,0,0,2.299,,0,28,28,24,1,0,castilian,
,,,,,,,,,668d38bc17a6f45c904036b4,Spanish,13 or older,"no, only English or Spanish",no,2025-07-23_07h20.26.630,empathy_intonation_perc,2024.2.4,Win32,59.88023952,668d38bc17a6f45c904036b4,687ed1b7e638a4cbf2f02089,6880c526ef313f30e310066d,,,,,,,,,,,,,81,0,,./stim/wavs/mexican_mismatch_declarative-broad-focus_La-maestra-vive-en-Paris.wav,,,,,,,,,,,,,,,,,,,,,,350.5198,352.6839,0,1,1.6324,,0,29,29,80,1,0,mexican,
